"id","filename","filepath","adatecreated","ndatecreated","adatecheckedin","ndatecheckedin","businessname","licensenumber","batchid","productname","sampleid","tvsampleid","metrcnumber","approved","notified"
3052,"206270-Cannabinoids.pdf","reports/pdf/206270-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0092","Ebbu Hash 73 um","206270","2641","1A4000500268763800000105-73","1440396000","144045721518981200"
3053,"206269-Cannabinoids.pdf","reports/pdf/206269-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0092","Ebbu Hash 120 um","206269","2640","1A4000500268763800000105-120","1440396000","144045721518981200"
3054,"206268-Cannabinoids.pdf","reports/pdf/206268-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0092","Ebbu Hash 190 um","206268","2639","1A4000500268763800000105-190","1440396000","144045721518981200"
3055,"206267-Cannabinoids.pdf","reports/pdf/206267-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0103","Ebbu Hash 25 um","206267","2638","1A4000500268763800000104-25","1440396000","144045721518981200"
3056,"206266-Cannabinoids.pdf","reports/pdf/206266-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0103","Ebbu Hash 73 um","206266","2637","1A4000500268763800000104-73","1440396000","144045721518981200"
3057,"206265-Cannabinoids.pdf","reports/pdf/206265-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0103","Ebbu Hash 120 um","206265","2636","1A4000500268763800000104-120","1440396000","144045721518981200"
3058,"206264-Cannabinoids.pdf","reports/pdf/206264-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0103","Ebbu Hash 190 um","206264","2635","1A4000500268763800000104-190","1440396000","144045721518981200"
3061,"206247-Cannabinoids.pdf","reports/pdf/206247-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","DDV-08.19.15-A","Dew Drops - Vanilla","206247","2618","1A400031268748A000008337","1440396000","144045721518981200"
3062,"206244-Cannabinoids.pdf","reports/pdf/206244-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","XDV-08.19.15-A","Synergy Dew Drops - Vanilla","206244","2615","1A400031268748A000008331","1440396000","144045721518981200"
3063,"206246-Cannabinoids.pdf","reports/pdf/206246-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","DDN-08.19.15-A","Dew Drops - Natural","206246","2617","1A400031268748A000008335","1440396000","144045721518981200"
3064,"206245-Cannabinoids.pdf","reports/pdf/206245-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404R-00010","XDW-08.19.15-A","Synergy Dew Drops - Watermelon","206245","2616","1A400031268748A000008333","1440396000","144045721518981200"
3068,"206259-Cannabinoids.pdf","reports/pdf/206259-Cannabinoids.pdf","08/25/2015","1440482400","2015-08-21","1440136800","Herbal Medical Institute LLC","404R-00077","8&#x2F;18","Pre 98 Bubba Caviar","206259","2630","1A40003126874CD000002078","1440482400","144054361518883500"
3069,"206283-ResidualSolvents.pdf","reports/pdf/206283-ResidualSolvents.pdf","08/25/2015","1440482400","2015-08-24","1440396000","Infuzionz, LLC (The Green Solution)","404R-00003","12986","Kaliband D.W.","206283","2654","1A4000312687483000014447","1440482400","144054361518883500"
3070,"206284-ResidualSolvents.pdf","reports/pdf/206284-ResidualSolvents.pdf","08/25/2015","1440482400","2015-08-24","1440396000","Infuzionz, LLC (The Green Solution)","404R-00003","14511","O.G. Kush","206284","2655","1A4000312687483000014512","1440482400","144054361518883500"
3071,"206290-ResidualSolvents.pdf","reports/pdf/206290-ResidualSolvents.pdf","08/25/2015","1440482400","2015-08-24","1440396000","Organic Alternatives","404R-00061","","Golden Poison Shatter","206290","2661","1A40003126874BD000000416","1440482400","144054361518883500"
3072,"206291-ResidualSolvents.pdf","reports/pdf/206291-ResidualSolvents.pdf","08/25/2015","1440482400","2015-08-24","1440396000","Organic Alternatives","404R-00061","","NYC Dawg","206291","2662","1A40003126874BD000000417","1440482400","144054361518883500"
3073,"206292-ResidualSolvents.pdf","reports/pdf/206292-ResidualSolvents.pdf","08/25/2015","1440482400","2015-08-24","1440396000","Organic Alternatives","404R-00061","","Purple Kush Budder","206292","2663","1A40003126874BD000000418","1440482400","144054361518883500"
